id,label
1089,Class_E
2985,Class_D
48,Class_E
1026,Class_D
1581,Class_C
2619,Class_C
2405,Class_C
3115,Class_A
1218,Class_D
3272,Class_E
2807,Class_E
1303,Class_D
2407,Class_A
3086,Class_A
649,Class_A
2316,Class_A
218,Class_A
1310,Class_C
2362,Class_D
1529,Class_D
399,Class_E
3115,Class_A
1665,Class_C
1935,Class_A
229,Class_A
1935,Class_A
2255,Class_A
538,Class_E
1107,Class_E
1373,Class_C
170,Class_A
2485,Class_E
925,Class_D
754,Class_A
1721,Class_C
129,Class_C
380,Class_A
3149,Class_B
170,Class_A
2484,Class_C
1645,Class_A
1308,Class_A
2454,Class_E
2974,Class_E
3033,Class_A
3153,Class_E
2529,Class_A
1219,Class_C
2389,Class_A
661,Class_E
1867,Class_C
1387,Class_A
991,Class_A
1789,Class_C
1274,Class_D
1343,Class_A
3279,Class_E
3074,Class_E
1796,Class_C
2616,Class_C
1169,Class_E
2493,Class_C
736,Class_F
978,Class_E
1931,Class_C
2867,Class_D
2330,Class_A
2352,Class_A
1387,Class_A
2088,Class_A
1238,Class_D
3326,Class_A
308,Class_D
1741,Class_C
1999,Class_E
1427,Class_C
116,Class_E
2805,Class_D
804,Class_D
1133,Class_A
1812,Class_C
1133,Class_A
1523,Class_C
351,Class_C
3326,Class_A
1495,Class_A
2170,Class_D
1873,Class_A
2073,Class_C
1645,Class_A
1916,Class_D
201,Class_A
2354,Class_D
2040,Class_A
961,Class_A
3236,Class_C
2550,Class_C
2068,Class_D
754,Class_A
201,Class_A
1665,Class_C
1645,Class_A
1327,Class_C
1813,Class_A
3115,Class_A
1909,Class_E
1804,Class_E
1976,Class_B
1027,Class_E
1873,Class_A
3201,Class_D
2182,Class_E
961,Class_A
2996,Class_F
1952,Class_C
1811,Class_B
170,Class_A
1515,Class_B
955,Class_A
3131,Class_C
1342,Class_A
850,Class_C
149,Class_C
1648,Class_E
2684,Class_C
2627,Class_C
1493,Class_C
2703,Class_E
955,Class_A
2727,Class_E
2108,Class_E
979,Class_A
2028,Class_E
2407,Class_A
2594,Class_C
2255,Class_A
1387,Class_A
2864,Class_C
2389,Class_A
582,Class_C
119,Class_D
2118,Class_E
1583,Class_E
2453,Class_F
229,Class_A
2191,Class_A
229,Class_A
103,Class_A
961,Class_A
269,Class_D
2963,Class_D
539,Class_D
3235,Class_F
2117,Class_C
2405,Class_C
1839,Class_A
2550,Class_C
1028,Class_C
2429,Class_A
351,Class_C
2026,Class_E
3231,Class_E
2316,Class_A
2048,Class_A
981,Class_A
1249,Class_E
1006,Class_A
2914,Class_C
1098,Class_D
1028,Class_C
794,Class_A
2407,Class_A
702,Class_C
122,Class_E
626,Class_A
1387,Class_A
1944,Class_D
1873,Class_A
2561,Class_E
3137,Class_A
231,Class_D
626,Class_A
3137,Class_A
2761,Class_D
2274,Class_E
156,Class_D
649,Class_A
744,Class_D
229,Class_A
850,Class_C
2588,Class_B
2352,Class_A
649,Class_A
234,Class_C
380,Class_A
103,Class_A
2530,Class_C
1308,Class_A
1864,Class_A
620,Class_D
2316,Class_A
2407,Class_A
2858,Class_B
2644,Class_C
306,Class_F
2248,Class_A
2511,Class_E
1796,Class_C
509,Class_E
882,Class_E
1774,Class_D
1629,Class_D
2095,Class_D
376,Class_E
2558,Class_C
1970,Class_F
2048,Class_A
2686,Class_E
649,Class_A
1619,Class_D
1710,Class_E
1141,Class_E
1631,Class_E
2219,Class_E
2241,Class_C
1308,Class_A
1132,Class_A
981,Class_A
1268,Class_C
1373,Class_C
1277,Class_C
702,Class_C
1864,Class_A
2580,Class_C
2984,Class_C
1872,Class_C
2749,Class_E
626,Class_A
3033,Class_A
1744,Class_D
2369,Class_E
150,Class_B
712,Class_A
1720,Class_E
1907,Class_F
3308,Class_D
2835,Class_C
1762,Class_D
1343,Class_A
1484,Class_A
1626,Class_E
1796,Class_C
1867,Class_C
3154,Class_E
2942,Class_F
3130,Class_E
582,Class_C
959,Class_A
3220,Class_C
2366,Class_E
2619,Class_C
1310,Class_C
2429,Class_A
955,Class_A
1813,Class_A
351,Class_C
2072,Class_A
606,Class_C
3326,Class_A
170,Class_A
201,Class_A
2731,Class_B
2352,Class_A
380,Class_A
2040,Class_A
825,Class_D
1101,Class_C
2164,Class_C
3294,Class_C
201,Class_A
172,Class_D
1313,Class_D
2713,Class_C
1479,Class_D
3137,Class_A
1670,Class_D
762,Class_C
460,Class_C
3073,Class_D
160,Class_C
1308,Class_A
2389,Class_A
1882,Class_D
831,Class_C
2031,Class_F
1873,Class_A
2255,Class_A
2088,Class_A
2532,Class_E
2073,Class_C
2407,Class_A
2580,Class_C
569,Class_E
712,Class_A
10,Class_C
638,Class_E
979,Class_A
1194,Class_E
2166,Class_E
649,Class_A
2389,Class_A
206,Class_D
1293,Class_B
3200,Class_E
1015,Class_C
1565,Class_B
2204,Class_D
1387,Class_A
3326,Class_A
1813,Class_A
2912,Class_D
613,Class_E
1872,Class_C
2529,Class_A
380,Class_A
2352,Class_A
2625,Class_E
229,Class_A
18,Class_B
961,Class_A
2313,Class_C
2302,Class_E
682,Class_E
1133,Class_A
1886,Class_C
356,Class_C
127,Class_A
2260,Class_D
2509,Class_E
654,Class_C
1327,Class_C
888,Class_A
2452,Class_C
794,Class_A
3127,Class_C
2048,Class_A
3086,Class_A
754,Class_A
996,Class_E
356,Class_C
3158,Class_C
